CreatedDate,ClosedDate,Time,Longitude,Latitude,Agency,Borough
2015-02-26,2015-02-27,21,-73.9189023998762,40.6846025702155,NYPD,BROOKLYN
2015-07-07,2015-07-13,9,-73.801054621367,40.6984191016436,DSNY,QUEENS
2015-10-27,2015-10-27,24,-73.9494833570652,40.8251537741357,NYPD,MANHATTAN
2015-08-16,2016-07-11,10,-73.9063753965142,40.6828007226444,DSNY,BROOKLYN
2015-11-16,2015-11-16,24,-73.9219932422242,40.6931436904746,DOT,BROOKLYN
2015-02-28,2015-02-28,17,-73.9955924639408,40.7613827256625,NYPD,MANHATTAN
2015-09-19,2015-09-19,13,-73.8547859951125,40.7547066383157,DSNY,QUEENS
2015-09-04,2015-09-07,13,-74.0725191831853,40.5911757389425,DSNY,STATEN ISLAND
2015-02-15,2015-02-15,16,-73.9162233491964,40.6358725565972,DSNY,BROOKLYN
2015-11-08,2015-11-08,0,-73.9891562874979,40.7167087177862,NYPD,MANHATTAN
2015-08-21,2015-08-22,23,-73.8878446607634,40.8318760244045,NYPD,BRONX
2015-08-25,2015-09-10,14,-73.9759980375636,40.762947557874,DCA,MANHATTAN
2015-04-10,2015-04-22,10,-73.7340063005985,40.7378193782425,DFTA,QUEENS
2015-12-25,2015-12-25,19,-73.866021542144,40.8303623559,NYPD,BRONX
2015-11-24,2015-11-27,10,-73.9128225280416,40.8065611022879,HPD,BRONX
2015-08-12,2015-08-13,15,-73.9812004361189,40.6713339269335,DEP,BROOKLYN
2015-07-13,2015-07-13,21,-73.9493677711537,40.8251043185513,NYPD,MANHATTAN
2015-03-25,2015-03-25,7,-73.7247507064134,40.7630906014103,NYPD,QUEENS
2015-10-09,2016-05-20,14,-73.8284363275347,40.738240308335,DOB,QUEENS
2015-03-11,2015-03-24,16,-73.9447162385826,40.6831521589915,DOT,BROOKLYN
2015-10-28,2015-10-28,13,-73.8357029250071,40.5791247901932,NYPD,QUEENS
2015-03-03,2015-03-20,8,-73.7765381521892,40.7824378804718,DPR,QUEENS
2015-07-28,2015-08-24,0,-73.8520635548995,40.9062746475729,DOHMH,BRONX
2015-11-10,2015-11-10,9,-73.9917656934847,40.6770882169469,NYPD,BROOKLYN
2015-05-27,2015-05-27,1,-74.068140250695,40.6081989132055,NYPD,STATEN ISLAND
2015-03-30,2015-03-30,14,-73.8742296324888,40.7223661030103,DSNY,QUEENS
2015-06-24,2015-06-25,17,-73.8467672560596,40.7384116297703,DEP,QUEENS
2015-08-10,2015-09-21,11,-73.8958832319885,40.8675976780449,HPD,BRONX
2015-08-01,2015-08-10,15,-73.9654318728301,40.7631452382255,DOT,MANHATTAN
2015-09-28,2015-09-25,10,-73.7755912002933,40.7494880582831,DOT,QUEENS
2015-08-05,2015-08-24,20,-73.8865006818954,40.8550126108321,HPD,BRONX
2015-12-01,2015-12-01,14,-73.8967799709363,40.7557372865184,NYPD,QUEENS
2015-03-12,2015-03-13,20,-73.9950923218264,40.6904499566983,NYPD,BROOKLYN
2015-12-13,2015-12-13,19,-73.9663613216646,40.7597557553613,NYPD,MANHATTAN
2015-03-08,2015-04-27,24,-74.0002018036575,40.6479170010919,DSNY,BROOKLYN
2015-08-22,2015-08-22,20,-74.012168271134,40.7203179444026,NYPD,MANHATTAN
2015-06-28,2015-06-29,23,-73.9075570292127,40.8447607158071,NYPD,BRONX
2015-10-01,2015-10-01,18,-73.7579866953166,40.60319933512,NYPD,QUEENS
2015-03-31,2015-08-22,15,-73.9375599002683,40.8287682142468,HPD,MANHATTAN
2015-03-20,2015-04-16,24,-73.9573152626533,40.6361174808229,DOT,BROOKLYN
2015-10-15,2015-12-28,18,-73.9501073215105,40.8218356830237,HPD,MANHATTAN
2015-02-04,2015-02-04,0,-73.8635128513696,40.8660351322642,NYPD,BRONX
2015-02-12,2015-02-13,15,-74.0893501938759,40.6464275564472,DSNY,STATEN ISLAND
2015-11-09,2015-11-12,10,-73.8187933269999,40.8235293365965,DSNY,BRONX
2015-05-07,2015-05-08,20,-73.8810271524752,40.8735530322956,NYPD,BRONX
2015-11-28,2015-12-01,20,-73.7857909463147,40.7303106285052,DOT,QUEENS
2015-07-22,2015-07-22,16,-73.8772561105325,40.8244160789493,NYPD,BRONX
2015-11-22,2015-11-22,10,-73.8963966577169,40.8652651467912,NYPD,BRONX
2015-07-23,2015-07-23,14,-73.7753384690816,40.6007560043113,DSNY,QUEENS
2015-08-20,2015-08-20,1,-73.7475643613155,40.7137782771087,NYPD,QUEENS
2015-12-12,NA,24,-73.8945488294272,40.7264048338314,DOHMH,QUEENS
2015-06-16,2015-07-27,15,-73.9959558430002,40.7218308784594,TLC,MANHATTAN
2015-06-18,2015-06-18,22,-73.9797825971825,40.7820351969002,NYPD,MANHATTAN
2015-08-21,2015-08-25,0,-73.9709710752096,40.6019682896606,DEP,BROOKLYN
